DATE,BAR NUMBER,DESCRIPTION
2016-1-6,3,"doji, prob BB, but poss LOM and SA. AIL, but LP and need wide stop"
2016-1-6,4,"G above 2 3, poss MG"
2016-1-6,5,-
2016-1-6,6,"BP B but 5 dojis, prob SA. AIL, but need stop below 2"
2016-1-6,7,-
2016-1-6,8,"DB 4 but top of weak ch. AIL, but need stop below 2"
2016-1-6,9,-
2016-1-6,10,"BP B, ok swing B"
2016-1-6,11,-
2016-1-6,12,"2LT at MA, poss HOD, but doji, prob BB, AIL, LPS, bulls have stop below 11 or 7. Bears STC of strong bull bar near MA"
2016-1-6,13,-
2016-1-6,14,"2 big bear bars, still AIL, but TR likely"
2016-1-6,15,-
2016-1-6,16,"HL MRV, DB 7, AIL so need swing stop below 3 or 2. Prob will get LH and one more test down, but ok swing B"
2016-1-6,17,-
2016-1-6,18,-
2016-1-6,19,-
2016-1-6,20,"W 5 12, DT 12, 20GB S, but big enough bull bar so LP S. AIL, prob BB and SW"
2016-1-6,21,"BP B, AIL, but doji, need swing stop. Ch so poss SA 19"
2016-1-6,22,-
2016-1-6,23,-
2016-1-6,24,"W 12 19, L4, but tail, TC, LP S. broad ch so prob bull leg in TR, but not strong top yet"
2016-1-6,25,-
2016-1-6,26,"BP B, but 3 dojis, L4 top, poss SA"
2016-1-6,27,-
2016-1-6,28,-
2016-1-6,29,BP S but TTRNS. Poss swing down after bull leg in TRD
2016-1-6,30,"bear BO, more down, but TR likely"
2016-1-6,31,-
2016-1-6,32,"H2 26 but small doji, bear BO, SA, poss TTR"
2016-1-6,33,-
2016-1-6,34,-
2016-1-6,35,-
2016-1-6,36,-
2016-1-6,37,"H3, bull bar, should get above 28 L, but scalp"
2016-1-6,38,-
2016-1-6,39,-
2016-1-6,40,"B BO, LH, MRV in TRD"
2016-1-6,41,-
2016-1-6,42,-
2016-1-6,43,-
2016-1-6,44,-
2016-1-6,45,-
2016-1-6,46,-
2016-1-6,47,"H2 36, DB 16, but 8 bar bear MC so poss SA. LPB"
2016-1-6,48,-
2016-1-6,49,-
2016-1-6,50,"BP S but bull bar, bottom of TR so prob BB"
2016-1-6,51,-
2016-1-6,52,-
2016-1-6,53,"DB 16, W 36 46, good B SB, but report in 10 min, btw"
2016-1-6,54,"BP S but bottom of TRD, prob BB"
2016-1-6,55,-
2016-1-6,56,-
2016-1-6,57,-
2016-1-6,58,"DT 50, W 53 53, but bull bar, prob BB, but ok swing S"
2016-1-6,59,-
2016-1-6,60,-
2016-1-6,61,-
2016-1-6,62,-
2016-1-6,63,"big bear BO, more down"
2016-1-6,64,"FT, more down"
2016-1-6,65,-
2016-1-6,66,-
2016-1-6,67,"f BO LOD, 3 bad FT bars, bears can exit since poss EG 64. Still AIS, slightly more likely SA but far below MA and might have to get closer"
2016-1-6,68,"MDB, W, SX, ok swing B, HPW"
2016-1-6,69,"3 cc bull bars, prob AIL,"
2016-1-6,70,"BO, BTC"
2016-1-6,71,-
2016-1-6,72,-
2016-1-6,73,-
2016-1-6,74,-
2016-1-6,75,"BTC bulls exit below. Poss scalp S, but prob C around OOD for DD"
2016-1-8,1,"G up from F BO below Y ET bottom. Strong bull bar, AIL"
2016-1-8,2,"ET bear flag, ok swing S, but prob BB and below 1. Poss ORV LOD near MA"
2016-1-8,3,-
2016-1-8,4,"ORV but not quite to MA, tail, 2 big bear bars. Poss LOD but more likely SA and more LOM"
2016-1-8,5,-
2016-1-8,6,"DT 2, but bull bar, prob LOM"
2016-1-8,7,-
2016-1-8,8,-
2016-1-8,9,"HL MTR, poss LOD, H2 4, but 3 strong bear bars so LPB"
2016-1-8,10,-
2016-1-8,11,"HL MTR 2eb, bull IB, ok swing B for poss LOD, but big bear bars so not yet HP"
2016-1-8,12,-
2016-1-8,13,-
2016-1-8,14,-
2016-1-8,15,-
2016-1-8,16,-
2016-1-8,17,DT but big bear bar at bottom of TTR so prob BB and more SW
2016-1-8,18,-
2016-1-8,19,-
2016-1-8,20,-
2016-1-8,21,-
2016-1-8,22,"bear BO and FT, STC"
2016-1-8,23,-
2016-1-8,24,-
2016-1-8,25,-
2016-1-8,26,-
2016-1-8,27,"ET 50 79, MDB, ok swing B for LOD, but HPW"
2016-1-8,28,"3 cc bull bars COH, AIL"
2016-1-8,29,"big bar, but MG more likely than EG. BDBU so prob TR soon. BB, stop below 26"
2016-1-8,30,"BTC 31 LH at MA but 5 strong bull bars, BB, more up"
2016-1-8,31,-
2016-1-8,32,-
2016-1-8,33,-
2016-1-8,34,-
2016-1-8,35,-
2016-1-8,36,"DT LH 16 but 11 bar bull MC, LP S"
2016-1-8,37,-
2016-1-8,38,-
2016-1-8,39,"BP B, DB 31, but 2 big bull bars, SA, BB2"
2016-1-8,40,-
2016-1-8,41,-
2016-1-8,42,"BB2 but bear bar, TTR, poss SA"
2016-1-8,43,-
2016-1-8,44,-
2016-1-8,45,"BO and FT, prob more down"
2016-1-8,46,"B2 39 but 3 bear bars, TC, BB2"
2016-1-8,47,"OD but tails, poss TTR, prob BB"
2016-1-8,48,"HL MTR, W 38 44, but tail, TC. Prob MRV, but ok swing S"
2016-1-8,49,-
2016-1-8,50,-
2016-1-8,51,"DT 43, DT 46, at MA, but doji, prob BB. Bulls should take at least partial profits. Ok swing S for LH, bear ch"
2016-1-8,52,-
2016-1-8,53,-
2016-1-8,54,"HL but bear body, prob SA"
2016-1-8,55,-
2016-1-8,56,"DT 50, bear SB, ok swing S but SW likely"
2016-1-8,57,-
2016-1-8,58,-
2016-1-8,59,-
2016-1-8,60,-
2016-1-8,61,-
2016-1-8,62,"HL MTR, H2 48, 2es but bear bar. Ok swing B"
2016-1-8,63,-
2016-1-8,64,"DT 58, DT 61 at MA, but doji. Ok swing S but prob bear leg in TR. No good bottom yet"
2016-1-8,65,-
2016-1-8,66,-
2016-1-8,67,-
2016-1-8,68,-
2016-1-8,69,"F BO below 62 H2, but TTR, bear body, just below MA. LP B, poss SA"
2016-1-8,70,-
2016-1-8,71,"STC, but poss SX"
2016-1-8,72,"BO, prob STC"
2016-1-11,1,"G up but tail. AIL but prob PB, poss to ORV"
2016-1-11,2,-
2016-1-11,3,"bear FT but tail. LOM, but now AIS. TR PA"
2016-1-11,4,-
2016-1-11,5,-
2016-1-11,6,"HL MTR but 6 bar MC, SA. Prob bear leg in TR, and early LOD, then swing up for 2 – 3 hours"
2016-1-11,7,-
2016-1-11,8,-
2016-1-11,9,"BP S but 4 dojis at SP LOY, BB and below 6"
2016-1-11,10,"HL MTR DB, but bear bar, TTRNS, LOM"
2016-1-11,11,-
2016-1-11,12,-
2016-1-11,13,-
2016-1-11,14,"DT 9, LH, top of TTR, ok swing S, but 5 bar bull MC so LP scalp"
2016-1-11,15,-
2016-1-11,16,-
2016-1-11,17,"cc big bear bars, new LOD, STC, might get test 1900, but still TRD most likely"
2016-1-11,18,-
2016-1-11,19,-
2016-1-11,20,"LL MTR, ET 6 10, but doji, 4 big bear bars, BB2. Might C G below 78 for scale in bull scalpers since TRD likely"
2016-1-11,21,-
2016-1-11,22,"BP S but 2 bull bars, TR PA, BB. Still AIS, but prob TRD"
2016-1-11,23,-
2016-1-11,24,-
2016-1-11,25,-
2016-1-11,26,"LL MTR, MDB, big OU, poss AIL but prob TR"
2016-1-11,27,-
2016-1-11,28,"good FT, AIL, but prob TR. Still in bear ch"
2016-1-11,29,-
2016-1-11,30,"L2 22, LH in bear ch, but 3 strong bull bars, AIL, BB, stop below 25"
2016-1-11,31,-
2016-1-11,32,"3 cc bear bars, more down"
2016-1-11,33,"bear BO, STC"
2016-1-11,34,-
2016-1-11,35,-
2016-1-11,36,-
2016-1-11,37,"f BO 25, DB HL MTR, but 7 cc bear bars, SA"
2016-1-11,38,BP S but bottom of TRD and bear ch so poss BB. Swing S or BB2
2016-1-11,39,"HL MTR 2eb but tail, TTRNS, BPW, Ok swing B, but prob L2 within 3 bars"
2016-1-11,40,L2 but TTRNS
2016-1-11,41,-
2016-1-11,42,"W 36 39, but TTRNS. Ok swing B, but Hr P to wait for BO. Might be SB for f H3 and test 1900"
2016-1-11,43,-
2016-1-11,44,"COL, AIS bears will S or below 42. Bulls will BB 42 and scale in for scalps"
2016-1-11,45,-
2016-1-11,46,-
2016-1-11,47,"BP S, 1900 magnet below. Prob BB at 1900 and below 46. Still AIS, but prob not much more down"
2016-1-11,48,-
2016-1-11,49,bad FT but weak B. prob bottom soon. Still AIS
2016-1-11,50,-
2016-1-11,51,-
2016-1-11,52,-
2016-1-11,53,"SX at bottom of CH, MM 5 min and 60 min, ok swing B, but HPW"
2016-1-11,54,"BP S, prob BB"
2016-1-11,55,"OU, poss AIL"
2016-1-11,56,"AIL but stop below 55 but AIL, 7 bar MC, BB. Might get deep PB since poss TR. LP S"
2016-1-11,57,-
2016-1-11,58,-
2016-1-11,59,-
2016-1-11,60,-
2016-1-11,61,-
2016-1-11,62,-
2016-1-11,63,-
2016-1-11,64,"MW 58 60, DT 43, good bear bar, ok S for AIS but prob HL. TR likely so might get deep PB"
2016-1-11,65,-
2016-1-11,66,"DB 62 but 3 bear bars, 2 big bodies, SA, but prob will get HL, maybe W bull flag"
2016-1-11,67,-
2016-1-11,68,-
2016-1-11,69,-
2016-1-11,70,"HL MTR, BT 53, ok swing B"
2016-1-11,71,"big bull bar, COH, strong EB, AIL, BTC"
2016-1-11,72,-
2016-1-11,73,-
2016-1-11,74,-
2016-1-11,75,STC bulls will get out 3 – 6t below and WFT
2016-1-12,1,"G up, AIL, TGTS, but doji, far above MA. Ok B for LOD but prob early TR"
2016-1-12,2,"good bull bar, more up"
2016-1-12,3,-
2016-1-12,4,"f BO HOY and test of Oct 5 G, W 63 75, but doji, T1B bull, prob BB, but not strong enough so BTW to B. Since weak rally, scale in bears might get back below 1 H. not strong B or S"
2016-1-12,5,-
2016-1-12,6,-
2016-1-12,7,"BO, C below 6, AIS, but TR more likely than bear trend12 DB 1 at MA, but 9 bars down, SA, AIS"
2016-1-12,8,-
2016-1-12,9,-
2016-1-12,10,-
2016-1-12,11,-
2016-1-12,12,-
2016-1-12,13,-
2016-1-12,14,"BP S but at MA. Might get 1 more push down, then W bottom. AIS more down"
2016-1-12,15,-
2016-1-12,16,-
2016-1-12,17,"W 1 12, MAG, SX, poss LOD, but MRV. Ok swing B, but BB2"
2016-1-12,18,-
2016-1-12,19,-
2016-1-12,20,"DT 14, but 50% chance BB 18 W bottom"
2016-1-12,21,-
2016-1-12,22,-
2016-1-12,23,-
2016-1-12,24,-
2016-1-12,25,-
2016-1-12,26,-
2016-1-12,27,"F BO below bear ch, test COY but TC, MRV. Ok swing B. bears will exit. TGTA 20 TR and 60ma, but prob will need DB 1st"
2016-1-12,28,-
2016-1-12,29,-
2016-1-12,30,-
2016-1-12,31,-
2016-1-12,32,"LH, L2, good bear bar, ok S"
2016-1-12,33,-
2016-1-12,34,-
2016-1-12,35,"HL but 3 bear bars, SA"
2016-1-12,36,-
2016-1-12,37,-
2016-1-12,38,-
2016-1-12,39,-
2016-1-12,40,"OU, BB 26, prob TR"
2016-1-12,41,-
2016-1-12,42,-
2016-1-12,43,"BP S but 2 bull bars, BB"
2016-1-12,44,-
2016-1-12,45,-
2016-1-12,46,"L2 at MA, ok S but tail, prob TR"
2016-1-12,47,-
2016-1-12,48,-
2016-1-12,49,"OU but doji, TTR"
2016-1-12,50,-
2016-1-12,51,-
2016-1-12,52,-
2016-1-12,53,"F BO 45, bear bar but 4 bull bodies. Top of TR, ok S, but BB or below 40"
2016-1-12,54,"W 26 40 but doji, 2 big bear bars. SA, BB2"
2016-1-12,55,-
2016-1-12,56,-
2016-1-12,57,-
2016-1-12,58,-
2016-1-12,59,"big OU, W 2eb, ok swing B"
2016-1-12,60,"bull body, AIL, but weak"
2016-1-12,61,-
2016-1-12,62,"ET 45 63 but AIL, 4 bull bars, BB"
2016-1-12,63,-
2016-1-12,64,BP B but bear bar. Should reach 60MA
2016-1-12,65,-
2016-1-12,66,"DT LH 32, L2 62, but strong rally, bull body, BB, poss DB 65"
2016-1-12,67,-
2016-1-12,68,-
2016-1-12,69,"BP B, DB 65, but tail"
2016-1-12,70,"big BO, COH, TGTA, more up"
2016-1-12,71,-
2016-1-12,72,"2LT, but prob BB and 2LU 73 BP B but bear bar, BX. TGTA OOD"
2016-1-13,1,G up but doji. F BO HOY but prob BB SA and LOM
2016-1-13,2,"OU but at HOY after doji, so poss SA. LP B"
2016-1-13,3,"f BO HOY 2es but TTR. Ok swing S for HOD, but not yet HP"
2016-1-13,4,"cc bear bars, AIS, might test COY and 60 MA"
2016-1-13,5,-
2016-1-13,6,"H2 1 but 3 bear bars, SA"
2016-1-13,7,-
2016-1-13,8,"ioi, TTRNS, LOM, but AIS so ok S for test COY"
2016-1-13,9,-
2016-1-13,10,-
2016-1-13,11,"W 1 5 ORV at MA, 2BR, but TC, weak SB, COY TGTB"
2016-1-13,12,"BP S, 2 dojis, but good magnets below, ok S"
2016-1-13,13,-
2016-1-13,14,-
2016-1-13,15,-
2016-1-13,16,"f BO below W, EG 13, but TC, MRV, still AIS, but might test 13 H top of SX"
2016-1-13,17,"BP S but doji, 60ma, BB. Ok swing S"
2016-1-13,18,-
2016-1-13,19,"L2 but big bar in TTR, BB"
2016-1-13,20,-
2016-1-13,21,-
2016-1-13,22,-
2016-1-13,23,-
2016-1-13,24,-
2016-1-13,25,-
2016-1-13,26,"Tri 18 22, C below MA, 1st good stop entry S today, ok to wait to see BO"
2016-1-13,27,-
2016-1-13,28,"BO, more down"
2016-1-13,29,-
2016-1-13,30,-
2016-1-13,31,"BP S, bull bar, lots of lim order trading today, BB for scalp, but still AIS"
2016-1-13,32,-
2016-1-13,33,-
2016-1-13,34,"L2, AIS, but ttrns, BB"
2016-1-13,35,-
2016-1-13,36,"L3 so W bear flag, MMTB, MG 15 L and 35 H, do not B"
2016-1-13,37,"big BO, FT, MG 28, might get OD day below LOY"
2016-1-13,38,-
2016-1-13,39,-
2016-1-13,40,-
2016-1-13,41,-
2016-1-13,42,-
2016-1-13,43,"W 15 32 but TC, bear body, SA"
2016-1-13,44,-
2016-1-13,45,"BP S, ok S for test LOY"
2016-1-13,46,-
2016-1-13,47,-
2016-1-13,48,-
2016-1-13,49,"still STC, but bull bar so prob PB within about 3 bars. Should fall below LOY to MMT from 28 MG"
2016-1-13,50,-
2016-1-13,51,-
2016-1-13,52,"still STC, SA, but bears will get out soon since stop is too far"
2016-1-13,53,-
2016-1-13,54,-
2016-1-13,55,-
2016-1-13,56,"H2 52 but dojis, TC, can only B with lim orders. SA, but SX so prob PB soon"
2016-1-13,57,-
2016-1-13,58,-
2016-1-13,59,-
2016-1-13,60,-
2016-1-13,61,"big bear BO below MW, SX, but big enough so prob 2LD"
2016-1-13,62,-
2016-1-13,63,2nd cc huge SX so BTC. Ok to B calls instead
2016-1-13,64,"cc SX, bull ib, AIL above, but TR more likely than bul. TGTA are SX H 63 and 61, MA"
2016-1-13,65,-
2016-1-13,66,-
2016-1-13,67,-
2016-1-13,68,"W 62 65, MG 60 L, but huge CSX so LPS. SW most likely since no strong reversal up yet"
2016-1-13,69,-
2016-1-13,70,-
2016-1-13,71,-
2016-1-13,72,"20GB, W 62 65, but doji, AIL. Prob LOM"
2016-1-14,1,"DT 72, bear RB, C below MA, ok swing S but more TR likely"
2016-1-14,2,AIS but poss ORV at COY or LOY
2016-1-14,3,"ORV at COY, Tri 63 77, big bull bar, poss LOD, but prob SA and more SW after 2 big bear bars in TR. Lim order bull scalpers made money Bg below 1. Still AIS, stop above 1, 50% chance of FT Sg from Y"
2016-1-14,4,-
2016-1-14,5,"big bear BO, COL, more down, STC"
2016-1-14,6,STC but poss F BO LOY so most will scalp 2 pts
2016-1-14,7,"LL MTR, but 7 bar t1b bear, doji, LPB"
2016-1-14,8,"BP B but bull body, SX, BB"
2016-1-14,9,"big OU, AIL"
2016-1-14,10,"strong BO, btc"
2016-1-14,11,-
2016-1-14,12,-
2016-1-14,13,-
2016-1-14,14,"f BO 72, but 1st PB, room to 60ma, BB"
2016-1-14,15,-
2016-1-14,16,-
2016-1-14,17,"f BO 72 2es, good S SB, MW 14 16 at 60ma, prob SD for 1 – 3 hours. Ok S but HPW to see if get 3 bear bars. Should test MA and maybe 72 H"
2016-1-14,18,"cc big bear bars, poss AIS, but prob BB around 72 H, 1 H, MA, 50% PB"
2016-1-14,19,-
2016-1-14,20,"DB 14 but 4 bars down, 2 dojis, BX, prob SA and LOM, and then test below 72 H and MA. Still AIL"
2016-1-14,21,-
2016-1-14,22,-
2016-1-14,23,-
2016-1-14,24,"H2 at MA, f BO below 72 BOP, but doji, tc, LP B"
2016-1-14,25,-
2016-1-14,26,"W 19 24 but TC, TGTB OOD H of 1, 50% PB, so WSS, HPW"
2016-1-14,27,-
2016-1-14,28,"FT, BB, more up"
2016-1-14,29,-
2016-1-14,30,"BP B but doji, middle of TR, prob SA and above 22, then TR"
2016-1-14,31,"W 25 28 but TC, 6 bull bars so MRV and SW"
2016-1-14,32,-
2016-1-14,33,-
2016-1-14,34,-
2016-1-14,35,-
2016-1-14,36,-
2016-1-14,37,-
2016-1-14,38,-
2016-1-14,39,"F BO HOD and 60ma, but doji, TC, prob SW"
2016-1-14,40,-
2016-1-14,41,"BP B but doji at RS, SA"
2016-1-14,42,big bear bar at MA in bull ch so BTC. Prob only scalp and more SD
2016-1-14,43,-
2016-1-14,44,-
2016-1-14,45,-
2016-1-14,46,"BP B, AIL, TGTA"
2016-1-14,47,-
2016-1-14,48,"G 45 H, poss SPB bull, but weak rally and might convert to TR at any time. Bear TL just above"
2016-1-14,49,-
2016-1-14,50,-
2016-1-14,51,-
2016-1-14,52,"BP B but TTR, doji, not to MA, prob SA"
2016-1-14,53,-
2016-1-14,54,"DT 50 but TTR, still AIL, weak SB, prob limited down, but poss HOD so ok swing S"
2016-1-14,55,-
2016-1-14,56,-
2016-1-14,57,"Tri 52 55, but OU in TTR, LP so swing or wait. Poss FF"
2016-1-14,58,"FF good bear bar, but TTR, prob BB. Ok swing S"
2016-1-14,59,"BP B but TTR at 60 min bear TL, LPB"
2016-1-14,60,-
2016-1-14,61,"W 50 58, but bull bar, AIL, TTR, LPS"
2016-1-14,62,-
2016-1-14,63,-
2016-1-14,64,-
2016-1-14,65,"BO, more up, SPB bull"
2016-1-14,66,-
2016-1-14,67,-
2016-1-14,68,-
2016-1-14,69,-
2016-1-14,70,"F BO above bull ch, but TC, SPB bull, better to S with lim orders, or wait for strong bear reversal"
2016-1-14,71,-
2016-1-14,72,"big bear bar, should reach MA at minimum. Bulls will not reach TGTA and will exit"
2016-1-14,73,"big FT, AIS. SX, so poss bounce. Might go SW in 60 TTR"
2016-1-14,74,-
2016-1-14,75,"MAG, good bull bar, ok swing B but AIS, LPB"
2016-1-15,1,"f BO LOY, huge gap, below 60 min MMTGs, above Sept L, good B SB, ok swing B for LOD. AIL"
2016-1-15,2,"FT but tail. Cc bull bars, good context, BB"
2016-1-15,3,OU but another tail. Might get TR soon
2016-1-15,4,"L2 but 3 big bull bodies. AIL, stop below 1 or 3. Might get deep PB and TR. LPS"
2016-1-15,5,"BP S from BO below LOY, L2, ok swing S, but prob BB. Might test below 3"
2016-1-15,6,"big bear bar, more down"
2016-1-15,7,"DB 1 but 3 big bear bars, SA, SW. prob still AIL"
2016-1-15,8,-
2016-1-15,9,-
2016-1-15,10,"HL 2eb, AIL but middle of TTR. Ok swing, stop below 1, but prob more SW"
2016-1-15,11,-
2016-1-15,12,-
2016-1-15,13,-
2016-1-15,14,"BP B but top of TRD, LOM. AIL, but need stop below 7. TR so better to B Lr or after strong BO"
2016-1-15,15,"ST 4, just below MA, COL, ok swing S for HOD"
2016-1-15,16,-
2016-1-15,17,-
2016-1-15,18,"FT, more down, might test 7 L"
2016-1-15,19,-
2016-1-15,20,"BP B but doji, bottom half of TRD. Ok swing S but poss BB, SA"
2016-1-15,21,"DB 7 but 4 bear bars, LPB"
2016-1-15,22,-
2016-1-15,23,"DB 23b but doji, LOM"
2016-1-15,24,-
2016-1-15,25,-
2016-1-15,26,"BP S from 13 DT, W 20 22, ok swing S"
2016-1-15,27,-
2016-1-15,28,-
2016-1-15,29,-
2016-1-15,30,-
2016-1-15,31,-
2016-1-15,32,"f BO DB 7 21, but TC, prob SA"
2016-1-15,33,"BP S for new LOD, ok swing but poss BB LOD"
2016-1-15,34,"BO, big bar, TGTB so MG more likely than EG"
2016-1-15,35,-
2016-1-15,36,-
2016-1-15,37,-
2016-1-15,38,"DB 36, f BO Sept L, but MRV and prob SA for test back down in 5 – 10 bars. Poss LOD,"
2016-1-15,39,-
2016-1-15,40,"big bull bar and FT, AIL, should get back up into UTR, but prob will test down within 5 – 10 bar. Still TRD"
2016-1-15,41,-
2016-1-15,42,-
2016-1-15,43,"20GB S, ok to S MA, but AIL, BB, LP S below"
2016-1-15,44,"big bear bar, might test Sept L again, but AIL, BB, prob LOD. Day will prob either be a DD with a C near the open, or a bull RD with a C on the H"
2016-1-15,45,-
2016-1-15,46,-
2016-1-15,47,"L2, W 36 43, 20GB S, but AIL. Might test 44 L"
2016-1-15,48,-
2016-1-15,49,"DB 44, but poss SA for 2LD from W. still AIL, stop below 39"
2016-1-15,50,-
2016-1-15,51,-
2016-1-15,52,-
2016-1-15,53,-
2016-1-15,54,-
